物件名,URL,イメージ画像,賃料,管理費,間取り,専有面積,向き,物件種別,築年数,住所,最寄り駅と距離,敷金,礼金,保証金,敷引・償却,取り扱い店舗,取り扱い店舗の電話番号
イシカワビレッジ 3階,https://suumo.jp/chintai/bc_100192305263/,https://img01.suumo.com/front/gazo/fr/bukken/263/100192305263/100192305263_gw.jpg,15000,7000円,ワンルーム,20m2,-,マンション,築32年,茨城県水戸市石川１,ＪＲ常磐線/赤塚駅 歩29分,-,-,-,-,不動産通信社 (株)ユウラク,03-5205-8424
メゾンホワイト 2階,https://suumo.jp/chintai/bc_100371535158/,https://img01.suumo.com/front/gazo/fr/bukken/158/100371535158/100371535158_gw.jpg,19000,3000円,ワンルーム,13.5m2,南,マンション,築42年,群馬県高崎市新町,ＪＲ高崎線/新町駅 歩13分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
鼻高フラットA 1階,https://suumo.jp/chintai/bc_100371535133/,https://img01.suumo.com/front/gazo/fr/bukken/133/100371535133/100371535133_gw.jpg,20000,3000円,1K,25.74m2,南西,アパート,築34年,群馬県高崎市鼻高町,ＪＲ信越本線/群馬八幡駅 歩30分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
アシスト城南マンション 5階,https://suumo.jp/chintai/bc_100379476278/,https://img01.suumo.com/front/gazo/fr/bukken/278/100379476278/100379476278_gw.jpg,22000,3000円,ワンルーム,21m2,南,マンション,築37年,茨城県水戸市城南２,ＪＲ常磐線/水戸駅 歩11分,-,-,-,-,(株)アシスト・ビジネス,03-5980-9395
スプリングフィールドI 1階,https://suumo.jp/chintai/bc_100365391761/,https://img01.suumo.com/front/gazo/fr/bukken/761/100365391761/100365391761_gw.jpg,22000,3000円,1K,20.04m2,南,マンション,築35年,群馬県高崎市下豊岡町,ＪＲ信越本線/北高崎駅 歩28分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
ソレイユ若葉セブンツー 2階,https://suumo.jp/chintai/bc_100356944625/,https://img01.suumo.com/front/gazo/fr/bukken/625/100356944625/100356944625_gw.jpg,22000,3000円,1K,13.68m2,南,アパート,築37年,埼玉県鶴ヶ島市富士見５,東武東上線/若葉駅 歩23分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
トランビュー沼田A 2階,https://suumo.jp/chintai/bc_100374027144/,https://img01.suumo.com/front/gazo/fr/bukken/144/100374027144/100374027144_gw.jpg,23000,2000円,1K,20m2,南西,アパート,築33年,群馬県沼田市薄根町,ＪＲ上越線/沼田駅 歩6分,-,-,-,-,(株)アシスト・ビジネス,03-5980-9395
ハイム三田 2階,https://suumo.jp/chintai/bc_100297643799/,https://img01.suumo.com/front/gazo/fr/bukken/799/100297643799/100297643799_gw.jpg,25000,3000円,ワンルーム,12m2,西,マンション,築39年,神奈川県川崎市多摩区三田１,小田急線/生田駅 歩7分,-,-,-,-,アパルトマンエージェント(株)東京支社,03-5822-1087
志村坂上 ワンルーム 1階,https://suumo.jp/chintai/bc_100376496541/,https://img01.suumo.com/front/gazo/fr/bukken/541/100376496541/100376496541_gw.jpg,25000,23000円,ワンルーム,7m2,-,アパート,築9年,東京都板橋区前野町４,都営三田線/志村坂上駅 歩7分,-,-,-,-,(株)東京めぞん,03-5280-7180
LIFE　BASE 2階,https://suumo.jp/chintai/bc_100371535221/,https://img01.suumo.com/front/gazo/fr/bukken/221/100371535221/100371535221_gw.jpg,26000,3000円,ワンルーム,25.4m2,東,マンション,築34年,茨城県水戸市松本町,ＪＲ常磐線/水戸駅 歩47分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
シナーラ衣笠 1階,https://suumo.jp/chintai/bc_100371535145/,https://img01.suumo.com/front/gazo/fr/bukken/145/100371535145/100371535145_gw.jpg,26000,3000円,ワンルーム,13.3m2,-,アパート,築37年,神奈川県横須賀市平作２,ＪＲ横須賀線/衣笠駅 歩12分,-,-,-,-,武蔵コミュニティー(株)東京本社賃貸のi live,03-6206-3371
ベルヴュー高崎B 1階,https://suumo.jp/chintai/bc_100378635090/,https://img01.suumo.com/front/gazo/fr/bukken/090/100378635090/100378635090_gw.jpg,27000,3000円,1K,24.33m2,東,アパート,築29年,群馬県高崎市石原町,ＪＲ高崎線/高崎駅 車9分(2.5km),-,-,-,-,(株)アシスト・ビジネス,03-5980-9395
